AGE,Base Salary,CUM YEARLY CASH,Cap Hit,Dead,Dead Cap,Misc.,Option,PLAYER,Restructure,Roster,Roster Bonus,Signing,Signing Bonus,TEAM,Workout,Workout Bonus,YEAR,Yearly Cash
27,"$910,000","$17,250,000","$7,080,000",,"$12,340,000",,,Steven Nelson,"$3,670,000",,,"$2,500,000",,Steelers,,,2020,"$8,250,000"
28,"$8,250,000","$25,500,000","$14,420,000",,"$6,170,000",,,Steven Nelson,"$3,670,000",,,"$2,500,000",,Steelers,,,2021,"$8,250,000"
22,"$465,000","$17,073,864","$4,617,216",,"$16,608,864",,,Corey Davis,,-,,"$4,152,216",,Titans,,,2017,"$17,073,864"
23,"$555,000","$18,693,171","$5,771,523",,"$12,456,648",,,Corey Davis,,"$1,064,307",,"$4,152,216",,Titans,,,2018,"$1,619,307"
24,"$645,000","$21,466,785","$6,925,830",,"$8,304,432",,,Corey Davis,,"$2,128,614",,"$4,152,216",,Titans,,,2019,"$2,773,614"
25,"$825,000","$25,484,706","$8,170,137",,"$4,152,216",,,Corey Davis,,"$3,192,921",,"$4,152,216",,Titans,,,2020,"$4,017,921"
26,-,,-,,-,,,Corey Davis,,-,,-,,Titans,,,2021,-
21,"$435,000","$11,320,269","$4,609,323",,"$25,351,277",,,Jameis Winston,,-,,"$4,174,323",,Buccaneers,,,2015,"$11,320,269"
22,"$525,000","$18,751,652","$5,761,654",,"$15,430,300",,,Jameis Winston,,"$1,062,331",,"$4,174,323",,Buccaneers,,,2016,"$7,431,383"
23,"$615,000","$21,491,314","$6,913,985",,"$11,793,308",,,Jameis Winston,,"$2,124,662",,"$4,174,323",,Buccaneers,,,2017,"$2,739,662"
24,"$580,588","$25,258,894","$7,941,903",,"$4,879,323",,,Jameis Winston,,"$3,186,992",,"$4,174,323",,Buccaneers,,,2018,"$3,767,580"
25,"$20,922,000","$46,180,894","$20,922,000",,"$20,922,000",,,Jameis Winston,,-,,-,,Buccaneers,,,2019,"$20,922,000"
28,"$2,000,000","$10,500,000","$7,833,333",,"$17,000,000","$500,000",,Henry Anderson,,"$4,000,000",,"$1,333,333",,Jets,,,2019,"$10,500,000"
29,"$7,000,000","$17,500,000","$8,333,333",,"$9,666,667",-,,Henry Anderson,,-,,"$1,333,333",,Jets,,,2020,"$7,000,000"
30,"$8,200,000","$25,700,000","$9,533,334",,"$1,333,334",-,,Henry Anderson,,-,,"$1,333,334",,Jets,,,2021,"$8,200,000"
34,"$5,000,000","$15,000,000","$10,000,000",,"$20,000,000",,,Calais Campbell,,,,"$5,000,000",,Ravens,,,2020,"$15,000,000"
35,"$10,000,000","$25,000,000","$15,000,000",,"$10,000,000",,,Calais Campbell,,,,"$5,000,000",,Ravens,,,2021,"$10,000,000"
31,"$6,500,000","$12,500,000","$12,500,000",,"$17,500,000",,,Jason Pierre-Paul,,"$6,000,000",,,,Buccaneers,,,2020,"$12,500,000"
32,"$12,500,000","$25,000,000","$12,500,000",,"$5,000,000",,,Jason Pierre-Paul,,-,,,,Buccaneers,,,2021,"$12,500,000"
27,-,,-,,-,,,Carl Nassib,,,,,,Raiders,,,2020,-
28,-,,-,,-,,,Carl Nassib,,,,,,Raiders,,,2021,-
29,-,,-,,-,,,Carl Nassib,,,,,,Raiders,,,2022,-
31,"$930,000","$8,500,000","$2,444,000",,"$20,430,000",-,-,Jason Kelce,-,-,,"$1,514,000",,Eagles,,,2019,"$8,500,000"
32,"$2,000,000","$20,000,000","$7,414,000",,"$15,056,000","$500,000","$1,400,000",Jason Kelce,-,"$2,000,000",,"$1,514,000",,Eagles,,,2020,"$11,500,000"
33,"$5,500,000","$25,500,000","$8,414,000",,"$10,142,000",-,"$1,400,000",Jason Kelce,-,-,,"$1,514,000",,Eagles,,,2021,"$5,500,000"
34,-,,"$2,914,000",,"$7,228,000",-,"$1,400,000",Jason Kelce,-,-,,"$1,514,000",,Eagles,,,2022,-
35,-,,"$2,914,000",,"$4,314,000",-,"$1,400,000",Jason Kelce,-,-,,"$1,514,000",,Eagles,,,2023,-
36,-,,"$1,400,000",,"$1,400,000",-,-,Jason Kelce,"$1,400,000",-,,-,,Eagles,,,2024,-
25,"$1,500,000","$9,500,000","$5,000,000",,"$13,750,000",,,Austin Ekeler,,"$2,000,000",,"$1,500,000",,Chargers,,,2020,"$9,500,000"
26,"$4,250,000","$13,750,000","$5,750,000",,"$8,750,000",,,Austin Ekeler,,-,,"$1,500,000",,Chargers,,,2021,"$4,250,000"
27,"$5,000,000","$18,750,000","$6,500,000",,"$3,000,000",,,Austin Ekeler,,-,,"$1,500,000",,Chargers,,,2022,"$5,000,000"
28,"$5,750,000","$24,500,000","$7,250,000",,"$1,500,000",,,Austin Ekeler,,-,,"$1,500,000",,Chargers,,,2023,"$5,750,000"
30,"$930,000","$12,530,000","$6,430,000",,"$20,650,000",,,Mitchell Schwartz,,-,,"$5,150,000",,Chiefs,"$350,000",,2019,"$12,530,000"
31,"$5,320,000","$18,200,000","$10,820,000",,"$14,220,000",,,Mitchell Schwartz,,-,,"$5,150,000",,Chiefs,"$350,000",,2020,"$5,670,000"
32,"$4,905,000","$24,455,000","$10,005,000",,"$3,750,000",,,Mitchell Schwartz,,"$1,000,000",,"$3,750,000",,Chiefs,"$350,000",,2021,"$6,255,000"
26,"$7,500,000","$7,500,000","$7,500,000",,"$7,500,000",,,Marcus Mariota,,,,,,Raiders,-,,2020,"$7,500,000"
27,"$10,000,000","$17,600,000","$10,100,000",,-,,,Marcus Mariota,,,,,,Raiders,"$100,000",,2021,"$10,100,000"
30,"$1,000,000","$14,000,000","$14,000,000",,"$18,500,000",,,Justin Houston,,"$13,000,000",,,,Colts,,,2019,"$14,000,000"
31,"$8,000,000","$23,000,000","$9,000,000",,"$4,500,000",,,Justin Houston,,"$1,000,000",,,,Colts,,,2020,"$9,000,000"
29,"$850,000","$10,200,000","$3,300,000",,"$16,150,000",,,Demario Davis,,,,"$2,300,000",,Saints,"$150,000",,2018,"$10,200,000"
30,"$5,950,000","$16,400,000","$8,500,000",,"$13,100,000",,,Demario Davis,,,,"$2,300,000",,Saints,"$250,000",,2019,"$6,200,000"
31,"$7,350,000","$24,000,000","$9,900,000",,"$4,600,000",,,Demario Davis,,,,"$2,300,000",,Saints,"$250,000",,2020,"$7,600,000"
32,-,,"$2,300,000",,-,,,Demario Davis,,,,"$2,300,000",,Saints,-,,2021,-
27,"$1,500,000","$8,000,000","$5,000,000",,"$12,000,000",,,Kelvin Beachum,,"$2,000,000",,"$1,500,000",,Jets,,,2017,"$8,000,000"
28,"$8,000,000","$16,000,000","$9,500,000",,"$7,000,000",,,Kelvin Beachum,,-,,"$1,500,000",,Jets,,,2018,"$8,000,000"
29,"$8,000,000","$24,000,000","$9,500,000",,"$1,500,000",,,Kelvin Beachum,,-,,"$1,500,000",,Jets,,,2019,"$8,000,000"
